Speaker,Language,Text,ID_unigram_coupe,ID_unigram_esidaine,ID_bigram_coupe,ID_bigram_esidaine,ID_trigram_esidaine,ID_4gram_esidaine,IR_unigram_esidaine,IR_bigram_esidaine,IR_trigram_esidaine,IR_4gram_esidaine,SR_unigram_esidaine,SR_bigram_esidaine,SR_trigram_esidaine,SR_4gram_esidaine,phones_ID_unigram_esidaine,phones_IR_unigram_esidaine,phones_SR_unigram_esidaine,phones_ID_bigram_esidaine,phones_IR_bigram_esidaine,phones_SR_bigram_esidaine,phones_ID_trigram_esidaine,phones_IR_trigram_esidaine,phones_SR_trigram_esidaine,phones_ID_4gram_esidaine,phones_IR_4gram_esidaine,phones_SR_4gram_esidaine,sylls_ID_unigram_esidaine,sylls_IR_unigram_esidaine,sylls_SR_unigram_esidaine,sylls_ID_bigram_esidaine,sylls_IR_bigram_esidaine,sylls_SR_bigram_esidaine,sylls_ID_trigram_esidaine,sylls_IR_trigram_esidaine,sylls_SR_trigram_esidaine,sylls_ID_4gram_esidaine,sylls_IR_4gram_esidaine,sylls_SR_4gram_esidaine
CAT_M3(Da),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M4(Ma),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M5(Jo),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O1,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,39.022,17.767,2.18,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O2,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,48.447,22.058,2.706,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O3,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,42.426,19.316,2.37,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O4,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,44.079,20.069,2.462,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O6,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,35.709,16.258,1.995,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O8,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,40.245,18.323,2.248,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,O9,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,41.987,19.117,2.345,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,P0,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,44.877,20.432,2.507,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,P1,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,38.986,17.75,2.178,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,P2,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,44.041,20.052,2.46,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,P3,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,41.255,18.783,2.305,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,P8,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,43.723,19.907,2.442,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,P9,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,42.148,19.19,2.354,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,Q0,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,45.823,20.863,2.56,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F1(Hu),CMN,Q1,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,36.238,16.499,2.024,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O1,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,43.084,19.616,2.407,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O2,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,42.847,19.508,2.393,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O3,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,44.042,20.052,2.46,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O4,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,44.911,20.448,2.509,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O6,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,42.33,19.273,2.365,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O8,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,42.374,19.293,2.367,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,O9,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,46.314,21.087,2.587,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,P0,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,41.831,19.046,2.337,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMN_F2(Yu),CMN,P1,8.69,8.633642899567581,6.96,3.9309067501260495,0.4822832591435065,0.0433434400222938,38.772,17.653,2.166,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
