Speaker,Language,Text,ShE,NS_coupe,NS_sidaine,ID_bigram_coupe,ID_bigram_esidaine,ID_unigram_esidaine,ID_trigram_esidaine,ID_4gram_esidaine,IR_esidaine
CMN_M6(Na),CMN,P3,8.69,77,,6.96,,,,,
CMN_M6(Na),CMN,P8,8.69,78,,6.96,,,,,
CMN_M6(Na),CMN,P9,8.69,76,,6.96,,,,,
CMN_M6(Na),CMN,Q0,8.69,68,,6.96,,,,,
CMN_M6(Na),CMN,Q1,8.69,57,,6.96,,,,,
DEU_aj,DEU,O1,9.3,86,,6.08,,,,,
DEU_aj,DEU,O4,9.3,87,,6.08,,,,,
DEU_aj,DEU,O6,9.3,82,,6.08,,,,,
DEU_aj,DEU,O9,9.3,60,,6.08,,,,,
DEU_aj,DEU,P0,9.3,111,,6.08,,,,,
DEU_aj,DEU,Q0,9.3,113,,6.08,,,,,
DEU_bg,DEU,O2,9.3,117,,6.08,,,,,
DEU_bg,DEU,O3,9.3,86,,6.08,,,,,
DEU_bg,DEU,O8,9.3,115,,6.08,,,,,
DEU_bg,DEU,P1,9.3,105,,6.08,,,,,
DEU_bg,DEU,P2,9.3,90,,6.08,,,,,
DEU_bg,DEU,P3,9.3,106,,6.08,,,,,
DEU_bg,DEU,P8,9.3,87,,6.08,,,,,
DEU_bg,DEU,P9,9.3,92,,6.08,,,,,
DEU_bg,DEU,Q1,9.3,94,,6.08,,,,,
DEU_ga,DEU,O1,9.3,86,,6.08,,,,,
DEU_ga,DEU,O4,9.3,87,,6.08,,,,,
DEU_ga,DEU,O6,9.3,82,,6.08,,,,,
DEU_ga,DEU,O9,9.3,60,,6.08,,,,,
DEU_ga,DEU,P0,9.3,111,,6.08,,,,,
DEU_ga,DEU,Q0,9.3,113,,6.08,,,,,
DEU_hm,DEU,O2,9.3,117,,6.08,,,,,
DEU_hm,DEU,O3,9.3,86,,6.08,,,,,
DEU_hm,DEU,O8,9.3,115,,6.08,,,,,
DEU_hm,DEU,P1,9.3,105,,6.08,,,,,
DEU_hm,DEU,P2,9.3,90,,6.08,,,,,
DEU_hm,DEU,P3,9.3,106,,6.08,,,,,
DEU_hm,DEU,P8,9.3,87,,6.08,,,,,
DEU_hm,DEU,P9,9.3,92,,6.08,,,,,
DEU_hm,DEU,Q1,9.3,94,,6.08,,,,,
DEU_jm,DEU,O2,9.3,117,,6.08,,,,,
DEU_jm,DEU,O3,9.3,86,,6.08,,,,,
DEU_jm,DEU,O8,9.3,115,,6.08,,,,,
DEU_jm,DEU,P1,9.3,105,,6.08,,,,,
DEU_jm,DEU,P2,9.3,90,,6.08,,,,,
DEU_jm,DEU,P3,9.3,106,,6.08,,,,,
DEU_jm,DEU,P8,9.3,87,,6.08,,,,,
DEU_jm,DEU,P9,9.3,92,,6.08,,,,,
DEU_jm,DEU,Q1,9.3,94,,6.08,,,,,
DEU_mi,DEU,O2,9.3,117,,6.08,,,,,
DEU_mi,DEU,O3,9.3,86,,6.08,,,,,
DEU_mi,DEU,O8,9.3,115,,6.08,,,,,
DEU_mi,DEU,P1,9.3,105,,6.08,,,,,
DEU_mi,DEU,P2,9.3,90,,6.08,,,,,
DEU_mi,DEU,P3,9.3,106,,6.08,,,,,
DEU_mi,DEU,P8,9.3,87,,6.08,,,,,
DEU_mi,DEU,P9,9.3,92,,6.08,,,,,
DEU_mi,DEU,Q1,9.3,94,,6.08,,,,,
DEU_mj,DEU,O1,9.3,86,,6.08,,,,,
DEU_mj,DEU,O4,9.3,87,,6.08,,,,,
DEU_mj,DEU,O6,9.3,82,,6.08,,,,,
DEU_mj,DEU,O9,9.3,60,,6.08,,,,,
DEU_mj,DEU,P0,9.3,111,,6.08,,,,,
DEU_mj,DEU,Q0,9.3,113,,6.08,,,,,
DEU_qk,DEU,O1,9.3,86,,6.08,,,,,
DEU_qk,DEU,O4,9.3,87,,6.08,,,,,
DEU_qk,DEU,O6,9.3,82,,6.08,,,,,
DEU_qk,DEU,O9,9.3,60,,6.08,,,,,
DEU_qk,DEU,P0,9.3,111,,6.08,,,,,
DEU_qk,DEU,Q0,9.3,113,,6.08,,,,,
DEU_sm,DEU,O1,9.3,86,,6.08,,,,,
DEU_sm,DEU,O4,9.3,87,,6.08,,,,,
DEU_sm,DEU,O6,9.3,82,,6.08,,,,,
DEU_sm,DEU,O9,9.3,60,,6.08,,,,,
DEU_sm,DEU,P0,9.3,111,,6.08,,,,,
DEU_sm,DEU,Q0,9.3,113,,6.08,,,,,
DEU_ss,DEU,O2,9.3,117,,6.08,,,,,
DEU_ss,DEU,O3,9.3,86,,6.08,,,,,
DEU_ss,DEU,O8,9.3,115,,6.08,,,,,
DEU_ss,DEU,P1,9.3,105,,6.08,,,,,
DEU_ss,DEU,P2,9.3,90,,6.08,,,,,
DEU_ss,DEU,P3,9.3,106,,6.08,,,,,
DEU_ss,DEU,P8,9.3,87,,6.08,,,,,
DEU_ss,DEU,P9,9.3,92,,6.08,,,,,
DEU_ss,DEU,Q1,9.3,94,,6.08,,,,,
ENG_fa,ENG,O1,9.51,70,,7.09,,,,,
ENG_fa,ENG,O2,9.51,86,,7.09,,,,,
ENG_fa,ENG,O3,9.51,85,,7.09,,,,,
ENG_fa,ENG,O4,9.51,84,,7.09,,,,,
ENG_fa,ENG,O6,9.51,67,,7.09,,,,,
ENG_fa,ENG,O8,9.51,84,,7.09,,,,,
ENG_fa,ENG,O9,9.51,67,,7.09,,,,,
ENG_fa,ENG,P1,9.51,105,,7.09,,,,,
ENG_fa,ENG,P2,9.51,76,,7.09,,,,,
ENG_fa,ENG,P3,9.51,91,,7.09,,,,,
ENG_fb,ENG,Q0,9.51,88,,7.09,,,,,
ENG_fb,ENG,Q1,9.51,62,,7.09,,,,,
ENG_fc,ENG,P0,9.51,92,,7.09,,,,,
ENG_fc,ENG,P8,9.51,77,,7.09,,,,,
ENG_fc,ENG,P9,9.51,91,,7.09,,,,,
ENG_fc,ENG,Q0,9.51,88,,7.09,,,,,
ENG_fc,ENG,Q1,9.51,62,,7.09,,,,,
ENG_fd,ENG,O1,9.51,70,,7.09,,,,,
ENG_fd,ENG,O2,9.51,86,,7.09,,,,,
ENG_fd,ENG,O3,9.51,85,,7.09,,,,,
ENG_fd,ENG,O4,9.51,84,,7.09,,,,,
ENG_fd,ENG,O6,9.51,67,,7.09,,,,,
ENG_fd,ENG,O8,9.51,84,,7.09,,,,,
ENG_fd,ENG,O9,9.51,67,,7.09,,,,,
ENG_fe,ENG,O1,9.51,70,,7.09,,,,,
ENG_fe,ENG,O2,9.51,86,,7.09,,,,,
ENG_fe,ENG,O3,9.51,85,,7.09,,,,,
ENG_fe,ENG,O4,9.51,84,,7.09,,,,,
ENG_ff,ENG,O6,9.51,67,,7.09,,,,,
ENG_ff,ENG,O8,9.51,84,,7.09,,,,,
ENG_ff,ENG,O9,9.51,67,,7.09,,,,,
ENG_ff,ENG,P0,9.51,92,,7.09,,,,,
ENG_ff,ENG,P1,9.51,105,,7.09,,,,,
ENG_ff,ENG,P2,9.51,76,,7.09,,,,,
ENG_ff,ENG,P3,9.51,91,,7.09,,,,,
ENG_ff,ENG,P8,9.51,77,,7.09,,,,,
ENG_ff,ENG,P9,9.51,91,,7.09,,,,,
ENG_fg,ENG,P0,9.51,92,,7.09,,,,,
ENG_fg,ENG,P1,9.51,105,,7.09,,,,,
ENG_fg,ENG,P2,9.51,76,,7.09,,,,,
ENG_fg,ENG,P3,9.51,91,,7.09,,,,,
ENG_fg,ENG,P8,9.51,77,,7.09,,,,,
ENG_fg,ENG,P9,9.51,91,,7.09,,,,,
ENG_fg,ENG,Q1,9.51,62,,7.09,,,,,
